"prok1" "prok2" "prok3" "prok4" "prok5" "prok6" "prok7" "prok8" "prok9" "prok10" "nr1" "nr2" "nr3" "nr4" "nr5" "nr6" "lz" "extra" "vertr" "gewis" "neuro" "intel" "nerd" "grund" "fach" "ziel" "lerntyp" "geschl" "job" "ort" "ort12" "wohnen" "uni1" "uni2" "uni3" "uni4"
"78" 3 3 2 2 4 4 4 2 2 4 2 4 2 5 3 3 4.4 3 4.25 4 4 4 3.83333333333333 "Ich finde, dass Psychologie sehr interessant und praktisch ist." 4 2 1 2 2 2 1 2 0 0 0 0
"79" 2 3 3 2 3 2 3 3 2 2 4 5 3 4 3 4 4.2 2.25 4 3.25 3.25 3 3.5 "Traumstudium" 4 2 1 1 1 2 2 3 0 1 0 0
"80" 2 1 2 2 3 4 3 2 3 4 2 5 5 4 4 5 5.8 3.5 4.25 4.25 4.25 2.5 3.83333333333333 "Aber breit gefächerte Themen, Schnittstelle zwischen Natur- und Geisteswissenschaften " 2 3 1 1 2 1 1 2 0 1 0 0
"81" 3 3 3 3 2 4 2 2 4 3 2 4 2 3 2 2 5.4 2.25 3.25 4 3 3.75 3.83333333333333 "Interesse " 4 3 3 1 1 2 1 2 0 1 0 0
"84" 4 2 1 3 3 1 3 4 2 4 3 2 2 3 4 3 6.8 3.75 4 3.75 3.75 4 2.83333333333333 "Interesse, viele Berufsmöglichkeiten" 2 3 1 1 2 1 1 3 0 1 0 0
"85" 2 2 3 2 3 4 3 2 3 2 4 5 4 5 4 4 5 2.25 4 3.75 3.25 4.5 3.5 "Interesse" 1 3 1 2 2 2 1 2 1 1 0 0
"86" 3 3 2 3 3 1 3 3 2 1 1 4 5 5 5 5 4.6 4 4.5 4 2.75 3.5 2.5 "Ich möchte helfen Leiden zu transformieren" 5 2 2 2 1 2 1 3 0 1 0 0
"87" 2 3 1 3 1 3 1 3 1 1 4 5 4 3 5 4 4.6 4 5 4.5 1.75 3.5 2.83333333333333 "Interesse an Verhalten den Menschen " 4 2 3 1 1 1 1 1 0 1 0 0
"90" 2 1 1 2 3 2 3 3 3 3 1 4 4 4 4 3 4 4 4.5 3.25 4 4.25 3 "Interesse " 1 1 1 1 2 1 2 NA 0 1 0 0
"91" 3 3 2 2 3 3 3 3 2 1 4 3 3 3 4 4 5.6 4.25 4 3.75 2.5 2.75 3 "Interessant" NA NA NA 1 2 1 3 3 0 1 0 0
"92" 3 2 1 2 3 2 3 3 3 3 2 4 3 4 2 4 5.2 3.75 4.75 3.5 3.5 3.5 1.83333333333333 "Interesse mich sehr für die menschliche Psyche und Menschen wenden sich mit ihren Problemen gerne an mich " 4 2 3 1 1 2 2 1 0 1 0 0
"93" 2 4 3 2 3 4 3 3 3 3 3 5 3 3 3 3 3.4 2.75 4.25 4.5 4.5 4 3 "Interesse am breiten Themenfeld, besonders am therapeutischen Zweig" 4 2 3 1 1 1 1 2 0 1 0 0
"97" 2 4 4 3 2 4 4 2 3 1 2 1 3 5 4 5 2.4 3.5 4.25 4.25 3.5 2.75 3.66666666666667 "Passion" 3 2 1 1 1 1 1 4 0 1 0 0
"98" 3 2 1 3 2 3 3 3 3 3 2 3 2 2 1 2 5.6 3.75 4 3 4 3.5 3.16666666666667 "Interesse und möchte Menschen helfen " 4 2 3 1 2 1 2 3 0 1 0 1
"99" 4 3 2 3 3 3 3 2 4 4 4 4 4 5 4 4 2 3 4.75 3 3.75 4 3.66666666666667 "Ich hab mich fürs Psychologie Studium entschieden, weil ich mich sehr für das menschliche Verhalten und Erleben interessiere." 3 3 2 1 2 1 1 3 1 1 0 0
"100" 2 3 3 4 3 3 3 2 3 3 4 5 5 3 5 4 5.6 4.25 4.25 4.5 3.75 3.25 3.33333333333333 "Ich habe schon früh Berührungspunkte (Kernfamilie) mit psychischen Probleme gehabt, was sicher auch ein Rolle spielt. Psychologische Themen haben mich schon seit ich denken kann, sehr interessiert und begeistert und entspricht meinem Interessensgebiet." 4 2 1 1 2 1 3 1 1 1 0 0
"104" 3 2 2 3 2 3 2 3 3 4 2 4 4 4 4 4 6.2 4.5 4.5 3.75 3.25 4 1.83333333333333 "Interesse am Menschen und der Psyche" 2 3 1 1 1 1 1 2 0 1 1 0
"105" 2 2 2 1 4 2 3 3 1 4 1 3 4 3 4 5 5.6 3.75 4.75 4.5 4.25 4.5 3 "wunsch" 4 2 1 1 1 2 1 4 1 1 0 0
"106" 2 3 3 2 4 2 4 3 3 2 2 2 1 2 1 1 5 3.5 4.25 4.75 3.75 3.75 1.5 "Interesse, Familiärer Hintergrund" 4 2 1 1 2 2 1 2 0 1 0 0
"107" 3 3 2 3 3 3 3 2 3 4 2 4 3 3 3 4 5.8 3.5 4.25 3 3.75 3.5 3 "HIlfe zu den Menschen" 4 3 3 1 2 1 1 4 0 1 0 0
"108" 2 2 3 3 3 2 3 4 3 3 2 5 3 5 4 4 4.8 4 4.5 4 3.5 3.25 3.5 "Interesse" 1 2 3 1 2 2 1 NA 0 1 0 0
"109" 3 2 3 4 2 3 3 4 4 2 1 5 4 3 2 3 5.2 3 4.75 3.25 3.25 4.25 3.66666666666667 "Interesse am großen Spektrum des Fachs" 2 3 2 2 1 1 2 3 0 1 0 0
"111" 2 3 4 2 3 2 3 4 2 4 2 5 2 3 2 2 5.4 2.5 4.75 4.25 3 3.75 3.5 "gute Erfahrungen im FSJ" 4 2 3 1 2 2 1 2 0 1 0 0
"112" 3 2 1 3 3 2 2 4 3 3 1 4 NA 3 2 4 5 2.5 3 2.5 2.5 4.25 2.33333333333333 "Der Fokus meines Interesse lag schon immer auf den Menschen und wie sie sich Verhalten und wieso. " 4 2 3 2 1 1 1 2 0 1 0 0
"113" 2 3 2 2 4 1 3 3 3 3 3 3 4 5 4 4 6 3.5 3.5 4.25 2.5 4 2.66666666666667 "Schon immer mein Traum " 4 2 1 1 1 2 1 3 0 0 0 0
"116" 2 2 3 2 4 3 3 1 3 2 2 4 4 4 4 4 5.6 3.75 4.5 4.5 2.75 3.75 2.33333333333333 "starkes Interesse" 3 1 3 1 2 1 2 3 0 1 0 0
"117" 3 1 1 2 3 2 2 3 3 2 1 2 2 4 3 3 4.2 3 4 2.5 3 3 2.33333333333333 "Die Spannung des menschlichen Verstandes" 1 1 1 2 1 2 1 1 0 1 0 0
"118" 2 4 3 3 3 2 3 4 3 1 3 4 4 5 3 3 6.4 3.75 4.5 4 3.75 4 2.33333333333333 "Ich hatte Psychologie als Schulfach und es hat mir sehr viel Spaß gemacht." 4 2 3 1 2 1 2 2 0 1 0 0
"120" 2 3 4 3 3 3 4 3 1 1 1 3 3 4 3 3 4.8 3.5 3.75 5 3.5 3 2.66666666666667 "Interesse" 4 2 3 1 1 2 1 2 0 1 0 0
"122" 3 2 1 4 2 4 2 2 4 3 2 4 2 4 3 3 2.8 2.75 4.25 3.25 4 2 2.5 "Keinen andere Idee" 4 4 3 1 2 1 2 3 0 1 0 0
"125" 2 3 2 3 3 2 3 3 3 3 4 5 3 5 4 5 4.4 4 4.75 4 3.75 4 3.16666666666667 "Sehr interessant " 1 1 2 1 1 2 1 2 0 1 0 0
"126" 4 4 1 4 3 4 3 3 4 4 1 5 3 3 2 2 3.4 3.75 3.75 4.25 4.5 4 4 "wusste nicht was ich sonst studieren soll" 1 3 1 1 1 2 1 2 0 1 0 0
"128" 1 3 4 2 4 2 3 4 1 4 5 3 5 5 5 3 4.8 4.25 4 4.5 3 2.75 3.66666666666667 "Interesse am Verhalten und den geistigen Prozessen des Menschen" 4 2 3 2 1 1 1 1 0 1 0 0
"129" 3 3 3 3 3 3 2 2 3 4 4 3 2 4 4 5 5 2.75 5 4.75 4 3.25 3.5 "Arbeit mit Menschen, Helfen, interessant, etwas zur Gesellschaft beitragen können" 2 2 3 2 1 1 1 3 1 1 0 0
"130" 2 3 3 2 3 2 3 4 2 1 3 5 4 4 4 3 5.6 2.75 4.25 4 2.5 4.5 3.5 "Interesse am menschlichen Denken" 2 3 3 2 2 1 1 2 0 1 0 0
"131" 1 3 3 1 4 1 4 3 1 2 2 3 2 3 3 4 6.4 4.25 4 4.75 2.25 4.25 2.83333333333333 "Gehirn, Sport, Erleben" 2 3 1 2 1 1 1 1 0 1 1 0
"135" 1 3 4 2 3 1 3 3 2 2 2 4 2 4 3 4 6 3 4.25 3.75 3.25 4 3.83333333333333 "Interesse an Firmenberatung / Abweichungen der menschlichen Norm" 4 1 3 2 1 1 2 1 0 1 1 0
"137" 1 1 4 4 3 4 4 1 3 3 1 5 4 5 2 1 4.6 4 4.5 3.75 5 4.75 3.83333333333333 "therapie" 4 2 3 1 1 2 1 2 0 1 0 0
"138" 2 3 2 2 3 2 3 2 3 2 3 4 3 3 4 2 4.8 3.75 4 4 2.75 3 1.83333333333333 "Weil es mich interessiert, wieso sich Menschen in gewissen Situationen auf eine Art und Weise verhalten." 4 2 1 1 2 1 3 1 0 1 0 0
"141" 1 3 4 2 4 3 3 2 4 2 3 3 2 4 3 3 4 4 4.25 4.5 3.75 4 2.83333333333333 "Ich möchte Psychotherapeut werden." 4 NA 3 1 1 1 1 NA 0 1 0 0
"143" 2 3 3 1 4 1 4 4 1 1 1 1 1 1 1 1 6 4.75 4 4.75 3 4 1.5 "Interesse an Motivation, Emotion und Persönlichkeitsentwicklung" 4 4 1 2 1 1 1 2 1 1 1 0
"149" 2 3 3 1 3 2 3 3 3 2 4 3 4 4 4 3 5.2 2.25 4 4.25 3.5 3.25 3.66666666666667 "Faszination mit dem Denken und Verhalten von Menschen" 4 3 3 2 2 2 1 2 0 1 0 0
"150" 4 3 1 4 2 3 2 3 4 4 1 4 4 2 3 4 5.2 3.5 3.75 2 3.5 4 3.5 "Berufsziel Psychotherapeutin, Möglichkeit Menschen zu helfen un positiv in meine Umwelt hineinzuwirken " 4 2 3 1 1 1 2 NA 0 1 0 0
"151" 3 3 2 2 3 1 3 4 3 3 4 4 4 4 3 3 5.6 4.25 4.25 4.75 3.25 4 3.16666666666667 "Ich habe aus Erfahrungen in meinem Umfeld, die Wichtigkeit der Psychologie für unsere Gesellschaft gezeigt bekommen und habe mich deswegen für das Studium entschieden." 1 3 3 2 1 2 1 2 0 1 0 0
"152" 1 4 2 2 4 3 4 4 3 2 3 4 4 3 4 4 5.6 4 4 5 3.75 4.5 4.66666666666667 NA NA NA 3 1 1 2 1 3 1 1 1 0
"155" 2 2 3 2 4 2 3 2 3 2 2 3 3 5 4 3 4.8 4 4.75 5 3.75 3.75 3.16666666666667 NA 1 2 3 1 2 1 1 2 0 1 0 0
"156" 3 3 2 1 4 1 3 3 3 2 4 4 2 1 3 3 5.6 3.5 5 4.5 2.75 3.5 2.83333333333333 "Die Möglichkeit Menschen zu verstehen und ihnen zu helfen sich weiterzuentwickeln" 4 2 3 1 1 2 1 3 0 1 0 0
"157" 2 3 1 2 4 3 2 4 3 2 5 5 2 5 5 4 4.8 3.25 3.5 3 3.5 3 3.33333333333333 "Ich interessiere mich für Menschen und was sie bewegt." 1 4 1 1 2 2 3 4 0 1 0 0
"158" 2 3 2 3 4 2 3 4 2 2 2 3 2 4 2 3 5.8 5 5 4.25 2.25 4.25 2.33333333333333 "Menschen in Not helfen" 4 2 3 2 2 2 1 2 0 1 1 0
"159" 2 3 2 2 3 2 4 3 2 2 2 4 4 4 4 4 5 3.25 4.5 3.25 4.25 2.75 3.16666666666667 "Interessant, Breit gefächert" 4 2 3 1 1 2 2 4 0 1 0 0
"161" 2 3 3 3 3 2 3 3 2 2 3 4 3 5 4 4 4.8 3.5 5 4 3.75 3.5 4 "Psychotherapie, Interesse an den Gründen für bestimmtes Verhalten" 3 2 3 1 2 2 3 2 0 1 0 0
"162" 2 3 4 3 3 2 1 2 3 2 1 4 1 3 1 1 3.2 3 4 4 3.5 4 3 "Weil ich glaube, dass ich großes Interesse für die Inhalte entwickeln kann und dabei lerne, das Geschehen um mich herum besser (bzw. wissenschaftlich) einzuschätzen." 1 3 3 2 2 2 1 2 0 1 0 0
"163" 1 4 3 1 4 1 4 3 1 2 1 4 3 2 3 2 6.8 4.75 4.25 5 3.5 4.75 2.33333333333333 "Interesse an Sportpsychologie" 1 4 1 1 2 1 2 4 0 1 0 0
"164" 2 2 2 2 4 2 4 3 2 1 1 5 3 5 3 3 5.2 2.75 4.75 4.25 3.25 3 3.83333333333333 "Um Therapeut zu werden" 4 2 1 2 2 2 2 4 0 1 0 0
"165" 2 3 1 1 4 1 3 4 2 3 3 4 4 5 4 4 6.2 3.75 4.5 5 3.5 4.5 3.66666666666667 "Interesse und Verbundenheit für/mit den Menschen" 3 2 3 2 1 2 1 1 0 1 0 0
"166" 3 1 2 3 3 2 3 3 3 3 4 3 1 3 2 1 2.6 2.75 5 4 4.75 4.75 4.16666666666667 "Möchte Menschen helfen." 2 2 1 2 1 1 1 3 1 1 0 0
"167" 4 2 1 3 2 3 2 3 3 4 4 5 4 4 4 4 4.6 3 3.5 2.5 4.25 3 3 "Aus Interesse und durch Vorbildung" 2 3 3 1 1 1 1 1 0 1 0 0
"168" 4 2 1 4 2 4 2 2 3 3 2 3 3 4 4 3 3.4 2.5 3.25 4 4.75 3 3 "Interesse" 2 2 1 1 2 2 1 2 0 1 0 0
"169" 3 3 2 2 3 1 3 3 1 2 5 2 5 5 5 5 3.6 2.5 3.5 3 1.25 3.25 3.66666666666667 "Interessant, sachbezogen" 3 2 1 2 1 1 3 1 0 1 0 0
"170" 2 3 3 1 3 3 3 2 1 3 1 4 3 1 3 1 6.4 4 4.25 4.5 4.75 4.5 3 "Viele attraktive Berufsmöglichkeiten" 1 1 3 1 1 1 2 1 0 1 0 0
"171" 2 3 2 2 3 1 3 2 3 4 4 4 3 3 3 3 5.8 2.75 4.25 4 4.25 3.5 3 NA 3 3 3 1 1 2 1 2 0 1 0 0
"173" 3 1 1 3 2 3 2 4 4 4 5 5 4 4 4 3 1.6 3.5 3.25 2.75 3.25 4.5 4 "Probleme in der Familie" 4 1 2 2 1 2 1 2 0 1 0 0
"175" 2 2 3 3 3 3 3 2 3 2 3 3 4 4 4 4 3 2.75 3 4 4.25 2.5 3.16666666666667 "Film als Therapiemethode zu verwenden" 4 2 1 1 2 1 3 1 0 1 0 0
"177" 3 3 1 3 4 3 2 2 4 3 4 5 4 4 4 4 4 3.75 3.75 3.25 3.25 3.25 3.5 "Interesse, persönliche Motivation " 3 4 2 2 2 1 2 1 0 1 1 1
"178" 3 2 1 3 3 3 2 3 3 3 4 5 3 3 4 3 5.2 3.5 4 3.25 4.5 2.5 3.5 "Mehr über den Mensch und seine Verhaltensweisen zu lernen" 2 3 3 1 1 2 1 2 0 1 0 0
"179" 4 3 2 3 2 1 3 4 2 3 4 4 4 4 4 5 6.4 4 4.25 3.25 3.25 4.25 3.5 "Sehr breit gefächert, Naturwissenschaft auf den Geist bezogen" 2 3 3 1 2 1 2 1 0 1 0 0
"180" 2 1 2 1 4 2 3 2 2 4 4 5 3 2 4 4 6.6 4 4.25 3.5 3 3.75 2.83333333333333 "Interesse an den Inhalten und daran, meine Umwelt und mich zu verstehen " 1 4 3 1 2 1 2 1 0 1 0 0
"181" 2 3 3 2 3 3 3 3 2 1 4 4 4 4 5 4 5.4 4 4 4.75 4.25 3.75 3.16666666666667 "Deckt viele meine Interessen ab. Als Sozialwissenschaft perfekte Kombi von Natur und Geisteswissenschaft." 1 2 3 1 2 1 1 2 1 1 0 0
"186" 3 2 2 3 3 3 2 3 4 3 3 5 3 5 3 3 3.4 4 4 4.25 4.5 3 3.83333333333333 "Um menschliches Verhalten besser zu verstehen" 3 3 3 2 2 1 2 3 0 1 0 0
"187" 3 4 4 4 3 4 2 3 2 2 4 5 3 2 2 2 4.8 2 4.75 4.25 2.25 3.25 4.5 "Interesse für die Psyche, viele verschiedene Berufswege" 1 2 1 2 1 1 1 2 0 1 0 0
"189" 3 1 2 3 2 2 2 2 3 2 1 4 1 4 1 1 4.8 2.5 4.25 3.25 2.5 3.5 4.66666666666667 "Differenzial Psychologie" 3 4 3 2 1 2 1 2 0 1 0 0
"190" 2 3 3 3 4 4 3 2 4 4 1 4 1 1 1 1 4.8 2.25 4.5 3.75 4.25 4.25 3.5 "Interesse" 1 3 1 1 1 2 1 3 1 1 0 0
"192" 2 2 3 4 2 2 2 3 4 3 5 3 3 5 4 4 5.4 2 3.75 3.5 3 3.25 4.16666666666667 "Vielfältiges Studium" 2 3 2 1 2 2 1 4 1 1 0 0
"193" 4 4 2 1 3 4 2 3 2 3 1 4 2 3 2 1 5.6 3.75 3 3.25 3.25 3.75 3.66666666666667 "weil ich meine Abinote nicht verschwenden wollte" 2 3 3 1 1 2 1 2 0 1 0 0
"194" 3 1 2 4 3 3 2 2 4 3 1 5 5 4 3 4 3.4 4.5 4.75 3.25 3.25 4 3.66666666666667 "Interesse an mentaler Gesundheit und Neurobiologie, eigene Erfahrungen mit psychologischen Problemen" 3 3 3 1 1 1 1 2 0 1 1 0
"195" 2 3 3 2 3 3 3 3 2 3 3 5 5 4 4 3 6.8 3.75 4.25 4 3 3.75 2 "- interessant" 1 2 3 1 2 1 1 2 1 1 0 0
"196" 4 4 3 1 4 2 4 3 1 2 1 2 1 1 1 1 5.8 3.5 4.5 5 2.75 3.5 2.33333333333333 "Interesse " 4 2 2 1 2 2 1 2 0 1 0 0
"198" 3 4 2 3 4 2 3 3 4 1 4 4 4 5 4 4 5.8 3.25 4.75 4.25 3.75 3 2.5 NA 2 2 3 1 1 1 2 4 0 1 0 0
"199" 2 4 2 2 4 2 3 3 2 4 5 4 3 4 3 3 5.8 3.25 3.75 5 4.25 3.5 3 "Menschen helfen besser zu werden" 1 1 3 1 2 2 1 2 1 1 1 0
"200" 1 4 4 1 4 1 3 3 1 1 3 3 1 2 2 2 7 3.25 2.75 4.75 2.5 3 2.5 NA NA NA NA 1 1 2 2 NA 0 0 0 0
"201" 2 3 2 1 3 1 4 4 1 2 1 3 2 4 3 3 5.2 3.5 4.25 3.5 4 3.75 2.66666666666667 NA 4 2 1 1 1 2 1 3 0 1 0 0
"202" 4 1 1 4 1 2 1 2 3 3 1 3 1 4 2 1 3.6 3.75 4.75 4 2.5 2.25 2.33333333333333 "Interesse insbesondere im Bereich Rechtspsychologie" 1 4 3 1 2 1 1 2 0 1 0 0
"203" 3 1 2 4 3 4 2 1 4 4 1 4 5 3 4 3 3.2 4.25 4.5 2.75 4.75 4.5 3.33333333333333 "Interesse daran rechtspsychologin zu werden " 5 4 1 1 1 2 1 1 0 1 0 0
"204" 2 3 2 3 3 2 3 3 2 3 2 4 2 4 2 2 5 2.25 3.75 4 3 4 2.83333333333333 NA 2 2 3 1 2 2 1 2 0 1 1 0
"206" 2 2 3 1 4 2 3 2 2 1 2 4 4 5 4 5 5.8 3 5 5 3.5 3.5 3.33333333333333 NA 4 2 1 1 1 2 1 2 0 1 0 0
"208" 2 3 2 1 4 2 4 4 2 3 2 5 3 4 4 3 6.2 2.75 4.5 4 2.75 3 3.16666666666667 "aus Interesse, weil ich mehr über die Psyche lernen möchte" 4 3 1 1 2 2 1 2 0 1 0 0
